"year","LEVEL","cnty","own_code","naics","employment","wages","largest_firm","total_firms"
2013.0,"2","007","5","81",118.58333333333334,3371565.0,20.25,31
2013.0,"2","007","5","99",1.0,20586.0,1.0,1
2013.0,"2","009","5","11",45.416666666666664,1221669.0,15.250000000000002,12
2013.0,"2","009","5","21",8.083333333333334,253219.0,3.0,4
2013.0,"2","009","5","22",10.666666666666666,668990.0,10.666666666666666,1
2013.0,"2","009","5","23",35.58333333333333,1143704.0,9.833333333333332,10
2013.0,"2","009","5","31-33",15.666666666666666,296273.0,9.5,2
2013.0,"2","009","5","42",45.25,1819780.0,13.833333333333334,8
2013.0,"2","009","5","44-45",119.25000000000003,2527416.0,24.416666666666664,17
2013.0,"2","009","5","48-49",26.583333333333332,1172318.0,11.249999999999998,6
2013.0,"2","009","5","51",2.0,144340.0,2.0,2
2013.0,"2","009","5","52",46.083333333333336,1441976.0,11.25,9
2013.0,"2","009","5","53",1.0,10500.0,1.0,1
2013.0,"2","009","5","54",5.0,85358.0,3.0,4
2013.0,"2","009","5","61",0.25,5440.0,0.25,1
2013.0,"2","009","5","62",25.249999999999996,412490.0,8.0,6
2013.0,"2","009","5","71",4.25,42064.0,4.25,1
2013.0,"2","009","5","72",24.5,299271.0,9.833333333333334,8
2013.0,"2","009","5","81",17.5,376780.0,4.5,8
2013.0,"2","011","5","11",151.5,4728094.0,112.41666666666667,12
2013.0,"2","011","5","22",15.750000000000002,498259.0,13.916666666666668,2
2013.0,"2","011","5","23",15.166666666666668,386652.0,12.75,5
2013.0,"2","011","5","31-33",1.0,46605.0,1.0,1
2013.0,"2","011","5","42",2.0833333333333335,38559.0,2.0833333333333335,1
2013.0,"2","011","5","44-45",73.33333333333334,1470188.0,19.166666666666668,13
2013.0,"2","011","5","48-49",0.0,0.0,0.0,1
2013.0,"2","011","5","51",5.25,127468.0,5.25,1
2013.0,"2","011","5","52",49.08333333333333,2210690.0,22.916666666666668,5
2013.0,"2","011","5","53",1.0,26000.0,1.0,1
2013.0,"2","011","5","54",3.333333333333333,95550.0,1.0833333333333333,6
2013.0,"2","011","5","56",233.08333333333331,8683509.0,229.58333333333331,5
2013.0,"2","011","5","62",42.833333333333336,1114598.0,15.333333333333334,6
2013.0,"2","011","5","71",0.0,0.0,0.0,1
2013.0,"2","011","5","72",58.0,1003525.0,21.416666666666668,7
2013.0,"2","011","5","81",2.0,7018.0,1.0,2
2013.0,"2","013","5","11",394.0833333333333,12122837,74.58333333333334,50
2013.0,"2","013","5","21",213.83333333333337,13871872,42.25,34
2013.0,"2","013","5","22",214.33333333333334,19676125,104.25,15
2013.0,"2","013","5","23",4214.083333333329,197048329,215.66666666666669,852
2013.0,"2","013","5","31-33",17125.583333333332,1315397526,1626.75,606
2013.0,"2","013","5","42",5539.833333333335,472290254,366.83333333333337,1047
2013.0,"2","013","5","44-45",16194.49999999999,479475350,445.08333333333337,1189
2013.0,"2","013","5","48-49",1313.1666666666667,52152353,162.25,110
2013.0,"2","013","5","51",8336.750000000002,870120588,2116.416666666667,388
2013.0,"2","013","5","52",4898.083333333333,410050317,565.0,744
2013.0,"2","013","5","53",2220.6666666666656,106146316,93.58333333333333,692
2013.0,"2","013","5","54",24047.50000000002,2349209402,1381.25,3845
2013.0,"2","013","5","55",1067.9999999999998,101816445,146.33333333333334,140
2013.0,"2","013","5","56",6792.083333333331,223800315,693.5,740
2013.0,"2","013","5","61",2139.333333333332,67258964,363.25000000000006,312
2013.0,"2","013","5","62",19518.91666666665,921935590,1437.8333333333333,1389
2013.0,"2","013","5","71",2843.3333333333335,59008306,312.5,270
2013.0,"2","013","5","72",15846.333333333347,285476698,278.8333333333333,894
2013.0,"2","013","5","81",4773.416666666669,176714476,211.58333333333334,1139
2013.0,"2","013","5","99",39.74999999999999,2302194.0,5.916666666666667,66
2013.0,"2","014","5","11",2.0,50959.0,2.0,1
2013.0,"2","014","5","21",50.333333333333336,9111865.0,36.083333333333336,6
2013.0,"2","014","5","23",1325.3333333333335,73893168,126.58333333333334,162
2013.0,"2","014","5","31-33",4879.916666666664,461716139,851.2499999999999,106
2013.0,"2","014","5","42",1206.0833333333337,109328476,257.6666666666667,230
2013.0,"2","014","5","44-45",4695.333333333331,112590441,250.5,289
