var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
incws_info_co,7625637239,7010696183,5852451613,5577635390,5208153392,5129020959,5566579542,5656126255,5645598005,5353533238,5542971076,5694801840,5757240222,6297543869,6708933563,6640541751,6852007407,7217980702,7552941478,8338431529,9330898967,10054500141,10839807526,10888680798,11391460172
jobs_info_co,111444,110760,97457,89172,85506,81971,80758,81087,81403,77610,75587,75924,73738,76990.5,77479.00000000001,77961.49999999999,79243.58333333333,79326.74999999999,82857.16666666666,84161.5,83109.08333333331,84904.83333333334,87802.41666666667,85885.99999999999,81872.7757942159
inc_info_co,7625786140,7010821861,5852592417,5577800362,5208334831,5129234673,5566815461,5656381316,5645838689,5353755145,5543202275,5695046002,5757485724,6297801888,6709221714,6640823911,6852295781,7218270347,7553219441,8338725537,9331177446,10054827055,10840150920,10889024290,11391787613.532999
prop_fi_co,16100,16957,16165,17547,17892,18592,18820,17816,16746,16515,16125,16162,16004,15783,15924,15625,15583,14860,15271,15265,15068,17031,16531,17508,17087.843871478868
incp_fi_co,1036739,963825,976139,1256415,1088289,1146045,1454352,1252388,1302661,1066913,1210148,1119182,1182505,1157153,1199845,1191430,1177315,1290050,1343891,1302125,1640426,1704629,1879919,1753862,1711772.905421503
jobs_fi_co,116335,118570,117718,120289,121381,124467,126874,124784,120670,116390,113294,112925,114392,118905.50000000006,119715.16666666663,122323.24999999999,124774.75,126269.8333333333,127936.66666666664,127985.91666666672,128138.25,133070.24999999997,133470.4166666665,132368.5,129191.92720481212
inc_fi_co,5326777382,5641600414,5580636883,5939603461,6086627344,6552715182,7007472557,7338921235,7309258761,6848543217,6927078528,7182531549,7625454807,8169358748,8613990751,9401326386,9839272152,10322441596,10846672801,11472591501,12660938060,13808068104,14051109622,14321370630,14973108715.905422
incws_fi_co,5325740643,5640636589,5579660744,5938347046,6085539055,6551569137,7006018205,7337668847,7307956100,6847476304,6925868380,7181412367,7624272302,8168201595,8612790906,9400134956,9838094837,10321151546,10845328910,11471289376,12659297634,13806363475,14049229703,14319616768,14971396943
ws_fi_co,100235,101613,101553,102742,103489,105875,108054,106968,103924,99875,97169,96763,98388,103122.50000000006,103791.16666666663,106698.24999999999,109191.75,111409.8333333333,112665.66666666664,112720.91666666672,113070.25,116039.24999999997,116939.41666666653,114860.5,112104.08333333326
inc_re_co,1433687343,1540197247,1551322122,1628638485,1703353527,1820440307,1957163397,2064460452,1947031866,1752363322,1727318673,1804160784,1960910994,2106514557,2259555210,2492143325,2686108153,2900837719,3106817418,3347087436,3427007700,4019418821,4539964278,4590006645,4591363931.647673
prop_re_co,40306,42807,44631,48116,51556,55597,54981,54809,51444,56176,54984,55270,55872,57759,59937,61846,63338,65446,67330,68879,68821,71174,71703,72694,72225.87878427083
incp_re_co,3063064,3391810,3671111,3861778,4115353,4462931,4272618,4321046,3954814,4665488,4573896,4698417,4957007,5236174,5599496,5830663,6068013,6312949,6611575,6856696,7093332,7659317,7758693,7717910,7668209.647672595
jobs_re_co,85242,88843,90021,93768,97447,102333,102575,102556,98225,99030,96244,96370,97672,100578.83333333334,104423.66666666669,108751.91666666669,112012.66666666672,116004.00000000004,119480.00000000003,123315.9166666667,120944.99999999999,125968.33333333334,128523.25000000006,130086.1666666667,129248.46211760421
ws_re_co,44936,46036,45390,45652,45891,46736,47594,47747,46781,42854,41260,41100,41800,42819.83333333335,44486.66666666669,46905.916666666686,48674.66666666671,50558.000000000044,52150.00000000003,54436.9166666667,52123.999999999985,54794.33333333335,56820.25000000005,57392.1666666667,57022.583333333394
incws_re_co,1430624279,1536805437,1547651011,1624776707,1699238174,1815977376,1952890779,2060139406,1943077052,1747697834,1722744777,1799462367,1955953987,2101278383,2253955714,2486312662,2680040140,2894524770,3100205843,3340230740,3419914368,4011759504,4532205585,4582288735,4583695722
ws_pst_co,148629,149813,140228,137442,142468,152504,159341,166978,172601,165971,164030,168512,174533,188926.00000000003,196624.66666666672,204534.33333333358,210292.74999999994,216084.16666666674,225063.08333333317,235792.00000000017,239319.66666666674,254693.4166666665,278925.08333333314,289269.7500000002,290769.75000000023
jobs_pst_co,204203,205984,199097,198971,205860,218900,227250,238863,244444,239304,239108,245394,252145,267499,279221.66666666674,288448.3333333336,296263.74999999994,304971.16666666674,318616.08333333314,331243.0000000002,331559.66666666674,351028.4166666665,377554.08333333314,390979.7500000002,393007.16429064074
inc_pst_co,9068860717,9174932910,8516098062,8469752466,9225883018,10325497547,11422365443,12607795963,13289615657,12913096500,13052603464,13701984652,14691869846,16034573479,17133775364,18191432247,19028519886,20241455421,22028498828,24363803672,25426470165,29670684883,33957838899,37243574905,39256341890.419334
prop_pst_co,55574,56171,58869,61529,63392,66396,67909,71885,71843,73333,75078,76882,77612,78573,82597,83914,85971,88887,93553,95451,92240,96335,98629,101710,102237.4142906405
incp_pst_co,1957134,2002944,2103255,2285904,2499272,2653025,2771537,3021794,3055294,2775966,2975011,3200306,3302909,3303399,3607271,3601328,3709131,3897218,4212988,4391071,4227910,4734206,5334869,5516455,5545060.419336106
incws_pst_co,9066903583,9172929966,8513994807,8467466562,9223383746,10322844522,11419593906,12604774169,13286560363,12910320534,13049628453,13698784346,14688566937,16031270080,17130168093,18187830919,19024810755,20237558203,22024285840,24359412601,25422242255,29665950677,33952504030,37238058450,39250796830
inc_manage_co,1545476681,1340422081,1292649737,1460976805,1919071509,2439878886,2705197651,3080805265,2992975925,3263245762,3521649102,3836214565,4771819182,4281676490,4734827237,5196600172,4726937215,5810313353,5553815230,6273720843,6373050594,7001268124,7071642839,7427634377,8186622551
ws_manage_co,17676,17368,18305,19660,21835,24380,26493,27872,28044,27923,28096,29220,31023,34560.583333333336,35352.583333333336,36511.666666666664,36724,39028.000000000015,40914.66666666668,42322.416666666686,41946.08333333335,43345.416666666664,44954.666666666664,46257.166666666664,46794.583333333336
prop_manage_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incws_manage_co,1545476681,1340422081,1292649737,1460976805,1919071509,2439878886,2705197651,3080805265,2992975925,3263245762,3521649102,3836214565,4771819182,4281676490,4734827237,5196600172,4726937215,5810313353,5553815230,6273720843,6373050594,7001268124,7071642839,7427634377,8186622551
incp_manage_co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jobs_manage_co,17676,17368,18305,19660,21835,24380,26493,27872,28044,27923,28096,29220,31023,34560.583333333336,35352.583333333336,36511.666666666664,36724,39028.000000000015,40914.66666666668,42322.416666666686,41946.08333333335,43345.416666666664,44954.666666666664,46257.166666666664,46794.583333333336
incp_admin_co,459864,477021,519461,550617,578566,592102,628854,727632,732759,660411,677486,707683,753287,760311,812417,828854,868181,915652,1078362,1169563,1153097,1307615,1481992,1631950,1581349.728814165
