var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ws_ag_co,14817,14680,14449,14088,14538,14956,14835,14545,14080,13728,13669,14007,14502,14338.583333333334,14931.166666666666,15588.083333333334,16476.416666666668,17596.5,18116.25,19661.166666666668,19952.666666666668,20100.25,19039.249999999996,18163,17537.25
prop_ag_co,2611,2466,2742,2955,2854,3281,3306,3675,3596,3797,3937,3953,3955,3925,3974,4086,4157,4674,4999,5133,5033,5075,5171,5139,4961.951646203821
jobs_ag_co,17428,17146,17191,17043,17392,18237,18141,18220,17676,17525,17606,17960,18457,18263.583333333336,18905.166666666664,19674.083333333336,20633.416666666668,22270.5,23115.25,24794.166666666668,24985.666666666668,25175.25,24210.249999999996,23302,22499.201646203823
inc_ag_co,319487376,328029007,327679823,328443196,349556585,365332645,375957202,389253976,399750019,392634974,397492879,415659383,437421156,444587851,484823586,538584397,575544746,641760224,694024770,794298354,838605471,878143807,875938542,869609754,864754903.7546248
incws_ag_co,319397886,327948881,327584243,328345858,349455956,365216246,375841562,389129699,399613328,392519380,397374674,415533529,437291717,444452782,484683777,538440746,575389747,641591559,693839563,794090638,838409779,877934133,875697638,869361749,864515443
incp_ag_co,89490,80126,95580,97338,100629,116399,115640,124277,136691,115594,118205,125854,129439,135069,139809,143651,154999,168665,185207,207716,195692,209674,240904,248005,239460.75462478667
incp_ttu_co,2270171,2255586,2323867,2445022,2617664,2726764,2801281,2903530,2894206,2434130,2584234,2749553,2859821,2881733,3091884,3180399,3216446,3459134,3828093,4031975,3832873,4602802,5801259,5853047,5903593.587021713
ws_ttu_co,412247,413998,403651,396337,397826,403976,410102,419525,419517,394692,388850,394166,401912,416070.66666666657,428071.0833333334,442404,450435.5000000001,458009.9166666665,466330.49999999994,473818,465762.83333333314,483768.08333333326,499394.00000000006,507304.8333333334,507986.58333333326
prop_ttu_co,49814,49187,51253,53190,54624,55709,55684,58917,55544,54181,54418,55821,56916,57100,61931,68475,76124,84811,92002,96510,102839,109201,108338,113417,114805.93238180706
inc_ttu_co,13404441157,13825137112,13515229248,13398254819,13866350470,14287480073,15354087913,16135859281,16369452454,15208784403,15291846530,15953196405,16807719004,17860056772,19146670164,20383812723,20991720216,22256649245,23343810179,24945183905,25988655607,28833770460,31840600731,33856088152,35131169031.58702
